"State/Territory","Medicaid Agency Name","FOIA Officer Name","Mailing Address","Phone Number","Fax Number","Email Address","Website","How to Submit Requests","Statutory Response Time","Legal Considerations & Notes"
"Alabama","Alabama Medicaid Agency","Public Records Coordinator","501 Dexter Avenue, P.O. Box 5624, Montgomery, AL 36103-5624","(334) 242-5833 / (334) 242-5000","Not specified","public.records@medicaid.alabama.gov","https://medicaid.alabama.gov","Complete Public Records Request Form and submit electronically to public.records@medicaid.alabama.gov","No specific state limit (prompt response)","Fees may be required before fulfillment. Must be specific in request."
"Alaska","Alaska Department of Health - Division of Health Care Services","Not specified","4601 Business Park Blvd., Bldg. K, Anchorage, AK 99503-7167","(800) 780-9972 / (907) 465-3030","(907) 465-3068","doh.hcs.operations.info@alaska.gov","https://health.alaska.gov","Contact agency directly; follow Alaska public records procedures","10 days","Alaska allows 10 days to respond to public records requests."
"Arizona","Arizona Health Care Cost Containment System (AHCCCS)","Susan Kennard, OIFA Administrator","150 N. 18th Ave., Phoenix, AZ 85007","(602) 417-4000 / (800) 523-0231 / (623) 213-6591","(602) 252-6536","oifa@azahcccs.gov","https://www.azahcccs.gov","Written request to agency; follow Arizona Public Records Act","""Prompt"" response required","No specific timeline mandated, must be prompt."
"Arkansas","Arkansas Department of Human Services - Division of Medical Services","Reginald Rogers (ADH FOIA Coordinator)","Donaghey Plaza, P.O. Box 1437, Little Rock, AR 72203","(501) 682-1001 / (855) 372-1084","(501) 682-1197","Contact county office or DHS","https://humanservices.arkansas.gov","In person, phone, mail, fax, or email. Submit FOIA request online.","3 days","Only Arkansas citizens can make FOIA requests. 3 business day response."
"California","California Department of Health Care Services (DHCS) - Medi-Cal","Public Records Coordinator","P.O. Box 997413, Sacramento, CA 95899-7413","Check DHCS website","Not specified","Check DHCS website","https://www.dhcs.ca.gov/Pages/Public-Records-Act.aspx","Follow California Public Records Act procedures","10 days (14 days for unusual circumstances)","Can extend to 14 days with written notice for unusual circumstances."
"Colorado","Colorado Department of Health Care Policy & Financing - Health First Colorado","Kathy Snow, CORA Officer","303 E. 17th Avenue, Suite 1100, Denver, CO 80203","(303) 866-2993 / (800) 221-3943","(303) 866-3552 / (303) 866-4411","kathy.snow@state.co.us","https://hcpf.colorado.gov","Written request via mail, email, fax, or CORA portal","3 days (can extend to 7 days)","Colorado Open Records Act. 3 business days, may extend to 7."
"Connecticut","Connecticut Department of Social Services - HUSKY Health","FOIA Officer","Check DSS website","(800) 842-1508 / (855) 805-4325","(860) 951-9544","Jalmar.DeDios@ct.gov / Christine.Stuart@ct.gov (media)","https://portal.ct.gov/husky","Submit via GovQA portal or contact DSS Communications","4 days","Connecticut FOIA Commission: (860) 566-5682, foi@ct.gov"
"Delaware","Delaware Department of Health and Social Services - Division of Medicaid & Medical Assistance","DHSS FOIA Coordinator","1901 North Dupont Highway, New Castle, DE 19720","(302) 571-4900 / (866) 843-7212","(302) 255-4429","DHSS.FOIA@delaware.gov","https://dhss.delaware.gov","Online FOIA form, email, fax, or US mail. Must be in writing.","15 days","Must be Delaware resident. Out-of-state requests considered case-by-case."
"District of Columbia","DC Department of Health Care Finance","Elizabeth Bowker, FOIA Officer","Check DHCF website","(202) 727-5355","Not specified","elizabeth.bowker@dc.gov","https://dhcf.dc.gov","Written FOIA request to FOIA officer","15 days","DC follows Freedom of Information Act procedures."
"Florida","Florida Agency for Health Care Administration","FOIA Officer","2727 Mahan Drive, Tallahassee, FL 32308","(888) 419-3456 / (800) 955-8771 (TDD)","Not specified","Check AHCA website","https://ahca.myflorida.com","Written request to agency","""Prompt"" response required","Florida Sunshine Law - no specific deadline mandated."
